Digi-Key Part Number	Manufacturer	Manufacturer Part Number	Customer Reference	Quantity 1	Quantity 2	Quantity 3
587-1243-1-ND			C1, C2, C8, C15, C22, C25, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37	20	40	50
587-1247-1-ND			C5, C11, C12, C19	10	10	20
587-1351-1-ND			C9, C16	10	10	10
732-1191-1-ND			L1, L2	2	4	6
751-1166-1-ND			D3, D7, D13, D14, D15, D16	6	12	18
751-1183-1-ND			D11	1	2	3
B240A-FDICT-ND			D1, D4, D6, D8	4	8	12
CW404CT-ND			Y1	1	2	3
490-1409-1-ND			C26, C27	10	10	10
H2959CT-ND			P2, P3	2	4	6
L61101CT-ND			D12	1	2	3
LM2665M6CT-ND			U4	1	2	3
LT3500EDD#PBF-ND			U1, U2	2	4	6
MBR0520LT1GOSCT-ND			D10	10	10	10
P180HCT-ND			R26	10	10	10
RHM1.00KHCT-ND			R7	10	10	10
RHM150HCT-ND			R2, R15, R28	10	10	10
RHM24.9KHCT-ND			R1	10	10	10
RHM40.2KHCT-ND			R5, R12	10	10	10
RHM42.2KHCT-ND			R8	10	10	10
RHM53.6KHCT-ND			R4, R11	10	10	10
RHM8.06KHCT-ND			R3, R10	10	10	10
SMBJ36ALFCT-ND			D5, D9	2	4	6
SS2H10-E3/52TGICT-ND			D2	1	2	3
SW1023CT-ND			SW1, SW2	2	4	6
587-1243-1-ND			C21	10	10	10
587-1351-1-ND			C23	10	10	10
WM7620CT-ND			P1, P4	2	4	6
WM7622CT-ND			P5, P6, P7, P12, P13	5	10	15
WM7624CT-ND			P9, P10	2	4	6
WM7630CT-ND			P8	1	2	3
587-1243-1-ND			C1	10	10	10
PCC2414CT-ND			C2	1	2	3
587-1437-1-ND			C3	10	10	10
BAS70TPMSCT-ND			D1	1	2	3
WM7620CT-ND			P1, P2	2	4	6
568-1636-1-ND			Q1	1	2	3
FDB8442CT-ND			Q2	1	2	3
541-220FCT-ND			R1	10	10	10
311-470KGRCT-ND			R2	10	10	10
541-10.0KFCT-ND			R3	10	10	10
311-1.00MHRCT-ND			R4	10	10	10
311-10.0KHRCT-ND			R5	10	10	10
SW1023CT-ND			SW1	1	2	3
